R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.714890614,3.796039455,3.984203326,4.05679386,4.535591468,4.500896061,14,58.15,0.47,66.5186
3.718434093,3.800080808,3.978040996,4.054377408,4.516325654,4.49151774,14,59.79,0.45,63.8162
3.723695684,3.833545947,4.017690588,4.098300986,4.549847892,4.527779285,14,60.88,0.5,68.0782
3.728463404,3.834372794,3.997801811,4.070076089,4.517826122,4.485527842,14,56.88,0.43,63.2254
3.728894253,3.86139359,4.040918651,4.124095041,4.559985739,4.529824563,14,58.31,0.5,69.179
3.732112064,3.876584501,4.051289123,4.137501012,4.562970781,4.541653775,14,59.78,0.5,68.5491
3.73381853,3.889082585,4.043069328,4.137530862,4.552548449,4.536954514,14,59.54,0.5,68.6519
3.742147282,3.910283442,4.054336843,4.139348803,4.552475004,4.536274587,14,57.9,0.42,61.6787
3.757736411,3.84336556,4.007003188,4.082659239,4.550770453,4.529573357,14,58.34,0.44,63.5138
3.767695426,3.87570914,4.03096092,4.107070321,4.526240912,4.492733223,14,59.17,0.44,63.1084
3.798478369,3.8904762,4.039002474,4.120724434,4.549687825,4.531704039,14,58.8,0.45,64.2889
3.618425089,3.796264944,3.979496091,4.065094208,4.522650766,4.501298521,15,60.75,0.5,68.1338
3.639693732,3.751833109,3.947815784,4.024899605,4.520113326,4.488886822,15,61.41,0.5,67.8514
3.651946571,3.812128981,3.995369034,4.07025045,4.511752531,4.480651121,15,59.15,0.45,64.1218
3.654253929,3.833752814,4.008758978,4.090483971,4.515593423,4.490814267,15,58.4,0.44,63.4845
3.681026343,3.847258796,4.003824791,4.079120629,4.509582904,4.481160577,15,60.12,0.5,68.4035
3.695565252,3.85990329,4.027744036,4.111690686,4.538659874,4.519146619,15,59.44,0.48,66.8711
3.696029987,3.82265136,4.00355885,4.083404103,4.522886668,4.499417148,15,59.38,0.48,66.8979
3.696146072,3.845115125,4.016530349,4.096335244,4.531474776,4.512712739,15,59.14,0.41,59.9654
