R_610nm,S_680nm,T_730nm,U_760nm,V_810nm,W_860nm,DATE,weight,height,HU
3.797376329,3.948226133,4.091872236,4.157692167,4.554111989,4.532422322,16,62.29,0.47,64.6284
3.798019509,3.907849113,4.078201813,4.142637479,4.590983039,4.562731771,16,57.36,0.52,71.3019
3.798478369,3.915968077,4.085531529,4.152587482,4.587779081,4.562265906,16,58.71,0.44,63.3331
3.798661771,3.902233171,4.085311209,4.148092995,4.544894405,4.516532689,16,58.65,0.5,69.0333
3.79911992,3.912704201,4.089296096,4.149954436,4.584278383,4.558300384,16,61.46,0.47,65.0074
3.799669081,3.934506144,4.088567676,4.154774359,4.575139836,4.554565293,16,56.97,0.47,67.0576
3.799669081,3.874141627,4.071087934,4.145872128,4.538027685,4.518985712,16,57.92,0.54,72.7297
3.799760524,3.902292049,4.097193569,4.168643368,4.561774414,4.541072984,16,59.66,0.5,68.6005
3.799943385,3.866218061,4.06122372,4.12523327,4.587463,4.553823315,16,58.22,0.48,67.4162
3.799943385,3.901820823,4.078127136,4.144463619,4.564080413,4.541806501,16,59.3,0.48,66.9336
3.80058281,3.926506836,4.087545803,4.152125687,4.547316274,4.521296919,16,57.82,0.49,68.5014
3.80067406,3.895468489,4.087180275,4.153739856,4.539795519,4.515657905,16,58.65,0.4,59.1236
3.800947764,3.927063297,4.091727497,4.154688259,4.567025677,4.531344427,16,59.39,0.53,71.3145
3.80185881,3.94160857,4.112397803,4.175045574,4.547130485,4.527495321,16,56.03,0.53,72.6737
3.801949792,3.968405415,4.118190524,4.173343874,4.533039102,4.503338652,16,57.32,0.52,71.3184
3.801949792,3.939884326,4.120059193,4.181489754,4.557149623,4.533357473,17,58.37,0.45,64.4941
3.8023136,3.912129047,4.066011092,4.121375861,4.539782939,4.502871254,17,60,0.41,59.5132
3.802404521,3.901349086,4.093893395,4.159541375,4.569044918,4.545379947,17,59.43,0.4,58.7033
3.804670949,3.954952982,4.102626994,4.15823353,4.542057938,4.507737314,17,60.69,0.46,64.3839
3.805122839,3.937773609,4.102979754,4.167167455,4.570327134,4.5462574,17,61.88,0.5,67.6503
